cycle,Product ID,L1 Category,OLD,NEW,New-Old RL Qty,#Hub OOS karena WH,# New Hub OOS,Improvement in Hub OOS #,Verdict can we reduce oos potential?,Verdict can we mitigate oos?
2,36985,Make Up,6,12,6,1,1,0,100.00%,
2,36988,Make Up,3,3,0,8,8,0,No,
2,36989,Make Up,5,5,0,30,30,0,No,
2,36997,Make Up,81,95,14,38,33,-5,17.28%,
2,37011,Tepung & Bahan Kue,0,0,0,64,64,0,No,
2,37018,Tata Rumah,179,192,13,32,30,-2,7.26%,
2,37019,Perawatan Hewan,0,0,0,77,77,0,No,
2,37021,Make Up,165,195,30,133,113,-20,18.18%,
2,37023,Tata Rumah,0,0,0,16,16,0,No,
2,37033,Kebutuhan Ibu & Bayi,36,36,0,4,4,0,No,
2,37035,HP & Gadget,177,192,15,11,11,0,8.47%,
2,37047,Snack,320,320,0,11,11,0,No,
2,37048,Snack,72,72,0,70,70,0,No,
2,37121,Kebersihan Badan,162,205,43,4,4,0,26.54%,
2,37122,Kebersihan Badan,267,319,52,34,29,-5,19.48%,
2,37123,Kebersihan Badan,172,208,36,12,10,-2,20.93%,
2,37159,Minuman,24,24,0,60,60,0,No,
2,37176,Kebutuhan Pokok,0,36,36,9,0,-9,100.00%,Yes
2,37187,Make Up,55,64,9,44,38,-6,16.36%,
2,37189,Make Up,6,6,0,12,12,0,No,
2,37198,Make Up,6,6,0,8,8,0,No,
2,37199,Make Up,2,2,0,6,6,0,No,
2,37486,Kebutuhan Pokok,145,160,15,11,10,-1,10.34%,
2,37487,Kebutuhan Pokok,1080,1200,120,16,15,-1,11.11%,
2,37544,Alat Kesehatan,1070,1145,75,80,75,-5,7.01%,
2,37574,Fashion Aksesoris,108,120,12,56,51,-5,11.11%,
2,37580,Fashion Aksesoris,180,204,24,75,67,-8,13.33%,
2,37658,Snack,960,1080,120,56,50,-6,12.50%,
2,37659,Snack,150,150,0,74,74,0,No,
2,37660,Snack,270,270,0,105,105,0,No,
2,37661,Snack,270,300,30,119,108,-11,11.11%,
2,37662,Snack,150,150,0,56,56,0,No,
2,37663,Snack,180,210,30,79,68,-11,16.67%,
2,37665,Cokelat,96,108,12,114,102,-12,12.50%,
2,37666,Snack,120,120,0,14,14,0,No,
2,37667,Snack,60,120,60,11,6,-5,100.00%,
2,37668,Snack,0,0,0,30,30,0,No,
2,37670,Snack,96,104,8,79,73,-6,8.33%,
2,37672,Snack,0,0,0,13,13,0,No,
2,37681,,0,0,0,56,56,0,No,
2,37684,Kebutuhan Cuci Baju,93,122,29,139,106,-33,31.18%,
2,37685,Kebutuhan Cuci Baju,503,559,56,10,9,-1,11.13%,
2,37687,Perawatan Rumah,269,298,29,48,44,-4,10.78%,
2,37690,Peralatan Ibu & Bayi,128,147,19,4,4,0,14.84%,
2,37812,Perawatan Hewan,10,10,0,1,1,0,No,
2,37813,Perawatan Hewan,138,188,50,32,24,-8,36.23%,
2,38446,Perawatan Diri ,30,36,6,1,1,0,20.00%,
2,38449,Susu & Olahan Susu,0,0,0,50,50,0,No,
2,38450,Susu & Olahan Susu,0,0,0,91,91,0,No,
2,38735,Susu & Olahan Susu,120,168,48,42,30,-12,40.00%,
2,38799,Snack,90,102,12,48,43,-5,13.33%,
2,38800,Snack,12,12,0,26,26,0,No,
2,39035,Perawatan Diri ,27,31,4,9,8,-1,14.81%,
2,39036,Perawatan Hewan,0,0,0,4,4,0,No,
2,39037,Perawatan Hewan,0,0,0,3,3,0,No,
2,39038,Perawatan Hewan,0,0,0,1,1,0,No,
2,39039,Perawatan Hewan,80,80,0,15,15,0,No,
2,39087,Permen,0,0,0,3,3,0,No,
2,39514,Make Up,6,6,0,26,26,0,No,
2,39515,Make Up,6,6,0,27,27,0,No,
2,40314,Kebutuhan Pokok,156,168,12,114,106,-8,7.69%,
2,40315,Perawatan Mulut,0,0,0,17,17,0,No,
2,40317,Perawatan Mulut,3,3,0,10,10,0,No,
2,40330,Skincare,0,0,0,5,5,0,No,
2,40377,Minuman,0,0,0,27,27,0,No,
2,40378,Minuman,0,0,0,20,20,0,No,
2,40387,Make Up,1,1,0,19,19,0,No,
2,40388,Make Up,51,51,0,16,16,0,No,
2,40389,Make Up,51,51,0,10,10,0,No,
2,40390,Make Up,49,49,0,15,15,0,No,
2,40391,Make Up,51,51,0,13,13,0,No,
2,40392,Make Up,57,57,0,42,42,0,No,
2,40393,Make Up,53,53,0,21,21,0,No,
2,40394,Make Up,53,53,0,12,12,0,No,
2,40395,Make Up,54,54,0,28,28,0,No,
2,40396,Make Up,54,54,0,31,31,0,No,
2,40397,Make Up,52,52,0,12,12,0,No,
2,40398,Make Up,51,51,0,26,26,0,No,
2,40399,Make Up,52,52,0,20,20,0,No,
2,40400,Make Up,48,48,0,8,8,0,No,
2,40401,Make Up,51,51,0,22,22,0,No,
2,40402,Make Up,50,50,0,2,2,0,No,
2,40403,Make Up,53,53,0,27,27,0,No,
2,40404,Make Up,51,51,0,24,24,0,No,
2,40405,Make Up,53,53,0,15,15,0,No,
2,40406,Make Up,47,47,0,4,4,0,No,
2,40407,Make Up,52,52,0,16,16,0,No,
2,40408,Make Up,51,51,0,4,4,0,No,
2,40409,Make Up,0,0,0,6,6,0,No,
2,40412,Vitamin,0,0,0,7,7,0,No,
2,40413,Vitamin,0,0,0,7,7,0,No,
2,40414,Vitamin,0,0,0,7,7,0,No,
2,40417,Alat Kesehatan,0,0,0,26,26,0,No,
2,40419,Obat-obatan,0,0,0,21,21,0,No,
2,40422,Obat-obatan,0,0,0,38,38,0,No,
2,40423,Obat-obatan,0,0,0,38,38,0,No,
2,40443,Perawatan Mulut,0,0,0,3,3,0,No,
2,40456,Shampoo & Conditioner,0,0,0,55,55,0,No,
2,40459,Kebersihan Wajah,24,26,2,48,45,-3,8.33%,
